Morillas deshidratadas,10,27,3.2,0.4,4.4,2.5,0,3,21,4.3,370
Morillas frescas,94,25,3,0.4,4.1,2.3,0,2.8,19.6,4,346
Nabo cocido,99,22,0.7,0.1,5,2,0,11.5,8.9,0.2,175.2
Nopal cocido,149,22,2,0.1,4.9,3,32.8,7.9,4.5,0.7,291
Nopal crudo,134,22,1.8,0.1,4.5,3.2,30.9,12.5,4,0.8,345.4
Nopal crudo de cambray,100,27,1.7,0.3,2.9,3.5,0,0,0,0,0
"Palmito, enlatado",33,30,0.8,0.2,1.5,0.8,0,2.6,12.9,1,58.4
Papaloquite crudo,108,24,1.9,0.3,3.1,1,69.7,20.5,ND,2.6,ND
Papilla de verduras mixtas,43,19,0.5,0,4.1,0.6,58.3,1.3,3.4,0.1,51.9
Pepinillos crudos,80,23,1.1,1,3.3,0,0,0,0,2.1,0
Pepinillos dulces,15,20,0.1,0.1,5.3,0.2,2,0,0,0.1,4
Pepino con cáscara rebanado,104,16,0.7,0.1,3.8,0.5,5.2,2.9,7.3,0.3,152.9
Perejil crudo picado,60,22,1.8,0.5,3.8,2,252.6,80,91.2,3.7,332.4
Pimiento amarillo crudo chico,64,17,0.7,0.1,4,0.6,6.4,116.9,16.6,0.3,135
Pimiento cocido,68,19,0.6,0.1,4.6,0.8,40,51,11,0.3,113
Pimiento fresco,60,17,0.5,0.1,3.8,1.1,38.4,54,13.2,0.3,106.8
Pimiento rojo crudo chico,64,17,0.7,0.1,4,0.6,100.1,81.4,29.3,0.3,134.5
Pimiento verde crudo chico,64,17,0.7,0.1,4,0.6,11.5,51.3,6.4,0.2,111.6
Poro crudo,32,21,0.5,0.1,4.5,1.2,26.6,3.5,20.5,0.7,57.6
Puerro crudo,22,14,0.3,0.1,3.2,0.9,18.5,2.7,14.2,0.5,40.1
Puerro hervido sin sal,62,19,0.5,0.1,4.7,0.6,25.4,2.6,14.9,0.7,53.9
Puré de tomate enlatado,63,24,1,0.1,5.6,1.5,16.3,6.6,6.9,1.1,274.4
Quelite crudo,66,26,3.1,0.3,2.6,0.8,213.2,26.2,ND,2.4,400.8
Rábano crudo rebanado,104,17,0.7,0.1,3.5,1.7,0,15.5,26.1,0.4,243.3
Romerito crudo,72,26,2.6,0.1,3.5,0.7,112,2.9,ND,1.8,ND
Salsa de chile,115,28,1.2,0.2,5.2,2.8,4.6,2.3,0,0.6,234.6
