Manzana amarilla,130,100,65,0.3,0.3,16.5,2.1,10,11,0.4,0.7,113.1,10.4
Manzana cocida,86,86,44,.2.,0.1,11.7,2.1,3.5,0,0.5,0.2,75,8.9
Manzana deshidratada,23,23,55,0.2,0.1,15,2,0,0.7,0,0.3,102.4,13
Manzana en almibar,24,24,54,0,0,15.7,2.1,1.2,0.5,0.1,0,16.2,13.6
Manzana en almibar enlatada,24,24,54,0,0,15.7,2.1,1.2,0.5,0.1,0,16.2,13.6
Manzana golden,130,100,65,0.3,0.3,16.5,2.1,10,11,0.4,0.7,113.1,13.5
Manzana granny,93,71,42,0.2,0.3,10.8,1.9,3.6,4.1,2.1,0.1,82.1,9.5
Manzana picada,75,75,44,0.2,0.3,11.4,2,3.8,4.3,2.2,0.1,86.4,10
Manzana roja,185,142,84,0.3,0.5,21.7,3.8,7.2,8.3,4.1,0.3,164.1,19
Manzana sin cascara,128,128,73,0.2,0.4,19,1.7,5,5,1,0.1,145,12.9
Manzana verde,93,71,42,0.2,0.3,10.8,1.9,3.6,4.1,2.1,0.1,82.1,9.5
Manzana Washington,93,71,42,0.2,0.3,10.8,1.9,3.6,4.1,2.1,0.1,82.1,9.5
Maracuyá,150,53,51,1.2,0.4,12.3,5.5,37.9,14.6,8.8,0.8,183.8,5.9
Maracuyá  rebanado,69,69,66,1.5,0.5,16,7.1,49.5,19,11.4,1.1,239.8,7.7
Marañon fresco,190,171,62,1.5,0.5,14.4,4.6,136.8,285.6,0,4.1,0,0
Melón,271,179,61,1.5,0.3,14.6,1.6,225.6,64.5,30.4,0.4,553.4,14.1
Melón cantaloupe,271,179,61,1.5,0.3,14.6,1.6,225.6,64.5,30.4,0.4,553.4,14.1
Melón chico,219,144,52,0.8,0.2,13.1,1.2,181.9,52,24.5,0.3,446.1,11.7
Melón picado,160,160,54,1.3,0.3,13.1,1.4,201.6,57.6,27.2,0.3,494.4,12.6
Melón valenciano,271,179,61,1.5,0.3,14.6,1.6,5.4,75.2,30.4,0.4,553.4,14.1
Melón valenciano picado,160,160,54,1.3,0.3,13.1,1.4,4.8,67.2,27.2,0.3,494.4,12.6
Melón verde picado,160,160,58,0.9,0.2,14.5,1.3,515,68,27,0.3,494,13
Membrillo,163,98,56,0.4,0.1,15,1.7,3.9,14.7,0,0.7,192.7,0
Moras,108,108,67,2.2,0.6,14.9,8.2,42.1,22.7,27,0.7,175,7.6
Nanche agrio,225,122,66,1.3,1.6,13.9,2.4,4.9,86.3,0,1.2,0,0
Naranja,242,152,72,1.4,0.2,18,3.7,18.3,80.8,45.7,0.2,276,14.3
Naranja agria,200,126,73,1.9,0.8,14.9,3,12.6,39.1,0,1,252,11.8
Naranja cajera,220,139,69,1.4,1,16.4,3.3,15.2,70.7,0,3.5,277.2,13
Naranja chica,140,129,48,2.1,0.4,15.2,3.1,36.1,56.7,0,1.2,0,12
Naranja sin semilla,201,155,72,1.1,0.6,18.3,3.7,0,0,0,0,0,14.5
Naranja valenciana,242,162,79,1.7,0.5,19.1,3.9,37.5,79.1,63,0.1,290.8,15.2
Naranja concentrada,130,130,57,1,0.2,13.2,0.3,0,0,0,0,7.6,0
Nectarina,136,124,54,1.3,0.4,13.1,2.1,91.9,6.4,4.6,0.2,262.1,9.8
Nispero,350,140,59,0.1,1.2,13.3,0,0,0,0,0,0,0
Níspero del japón,180,108,52,0.4,0.2,13.4,1.3,56.2,1.1,8.6,0.3,287.3,0
Orejones de chabacano,25,25,59,0.8,0.1,15.3,1.8,177.1,0.7,2.8,1.2,337.4,13.1
Orejones de durazno,26,26,62,0.9,0.2,15.9,2.1,56.2,1.2,0,1.1,259,10.9
Orejones de manzana,23,23,55,0.2,0.1,14.8,2,0,0.7,0,0.3,101.3,12.9
Orejones de pera,18,18,47,0.3,0.1,12.5,1.3,0,1.2,0,0.4,96,11.2
