Crepas saladas,30,69,1.6,1,13.1,0.5,0.2,0.3,0.3,147.5,ND
Croutones,15,61,1.8,1,11.1,0.8,3.5,11.5,0.6,104.5,ND
Cuadritos de avena,19,71,2.9,1,13.8,2.2,34.7,10.3,5.4,68.3,3.1
Cuadritos de avena con salvado,19,71,2.9,1,13.8,2.2,34.7,10.3,5.4,68.3,3.1
Cúrcuma,138,73,5.6,0,13.2,1.7,0,70.2,16.8,0,ND
Elote amarillo cocido,66,71,2.2,0.8,16.6,1.9,30.4,1.6,0.3,0,2.7
Elote amarillo congelado,71,70,2.3,0.6,16.7,2,27.9,2.9,0.5,2.3,ND
Elote amarillo crudo,71,61,2.3,0.9,17.7,2,32.7,1.7,0.4,12.1,ND
Elote amarillo desgranado cocido,83,66,2.3,0.4,16.2,2,38.5,3.3,0.3,4.2,2.6
Elote amarillo desgranado crudo,83,66,2.3,0.4,16.2,2,38.5,3.3,0.3,4.2,2.6
Elote amarillo enlatado,82,66,2.1,0.8,15.2,1.6,40,4,0.7,175,2.3
Elote blanco cocido,82,70,2.6,1,15.5,2.2,37.5,1.6,0.4,12.2,2.6
elote blanco desgranado,83,66,2.3,0.4,16.2,2,38.5,3.3,0.3,4.2,2.6
Elote crudo,82,70,2.6,1,15.5,2.2,37.5,1.6,0.4,12.2,2.6
Elote desgranado,83,66,2.3,0.4,16.2,2,38.5,3.3,0.3,4.2,2.6
Elote enlatado,82,66,2.1,0.8,15.2,1.6,40,4,0.7,175,2.3
English miffin,29,67,2.2,0.5,13.1,0.8,10.5,49.5,0.7,132,ND
Espagueti cocido,46,57,2.5,0.2,12.3,2.1,2.3,6.9,0.5,1.4,0.4
Espagueti con espinacas cocido,47,61,2.1,0.3,12.2,0,5.7,14,0.5,6.7,ND
Espagueti crudo,20,70,2.9,0.3,15,0.1,11.4,8,0.7,1.6,ND
Espagueto integral cocido,46,57,2.5,0.3,12.3,2.1,2.3,6.9,0.5,1.3,ND
Espagueti integral crudo,20,70,2.9,0.3,15,0.1,11.4,8,0.7,1.6,ND
Espaguetti cocido,47,58,2.5,0.3,12.4,2.1,2.3,7,0.5,1.4,0.4
Espaguetti con espinacas cocido,47,61,2.1,0.3,12.2,0,5.7,14,0.5,6.7,ND
Espaguetti crudo,20,70,2.9,0.3,15,0.1,11.4,8,0.7,1.6,ND
Espaguetti integral cocido,47,58,2.5,0.3,12.4,2.1,2.3,7,0.5,1.4,0.4
Fécula de maíz,16,60,0,0,14.4,0,0,0,0,0,ND
Fécula de maíz de sabor,16,60,0,0,14.4,0,0,0,0,0,ND
Fetuccini crudo,20,70,2.7,0.5,14.1,0.6,3.9,4.3,0.6,3.2,0.6
Fibra uno,30,60,2,1,25,14.2,0,100,4.5,105,ND
Fideo cocido,20,74,2.5,0.2,15,0.1,5,5.4,0.3,0.4,ND
Fideo con tomate deshidratado,20,72,2.6,1,13.3,0,0,0,0.3,399.4,ND
Fideo crudo,20,72,2.7,0.5,14.5,0.7,4.2,4.2,0.6,1.1,0.7
Fideo seco deshidratado,20,72,2.6,1,13.3,0,0,0,0.3,399.4,ND
Fruitcake,20,65,0.6,1.8,12.3,0.7,0.5,6.5,0.4,54,8.6
Fusili cocido,46,57,2.5,0.2,12.3,2.1,2.3,6.9,0.5,1.4,0.4
Fusili crudo,20,70,2.9,0.3,15,0.1,11.4,8,0.7,1.6,ND
Galleta barras de higo,16,56,0.6,1.2,11.3,0.7,2,10,0.5,56,ND
Galleta de animalitos,15,68,1.1,2.1,11.3,0.2,2.1,6.4,0.4,59.5,3.4
Galleta de manzana,15,50,0.5,0,12,0.5,0,0,0,30,7
Galleta dulce,16,64,1.1,1.7,10.7,0.7,1.1,3.5,0.3,48.5,ND
Galleta dulce sin relleno,16,64,1.5,1.7,10.7,0.7,1.1,3.5,0.3,48.5,ND
Galleta maría,19,69,1.3,1.3,13.8,0.1,6.3,0,0.5,110.6,11.3
Galletas para sopa,18,70,1.2,1.8,12.8,0,0,0,0,268.3,ND
Galleta salada,16,69,1.4,2.1,11.2,0,1.1,7.8,0.3,176,ND
