Salmón,30,55,6,3.2,0,17.6,4.6,3.5,0.1,17.6,11
Salmón cocido,30,55,6,3.2,0,17.6,4.6,3.5,0.1,17.6,17.2
Salmón fresco,30,55,6,3.2,0,17.6,4.6,3.5,0.1,17.6,13.8
Short loin,25,54,7.2,2.6,0,19,0,2,0.6,17,5.8
Sierra ahumada,30,51,7.3,2.2,0,20.5,25.8,25.8,0.1,12.7,4.2
Sirloin,25,51,7.6,2,0,22.3,0,2.8,0.8,16.5,4.6
Sustituto de huevo en polvo,15,67,8.3,2,3.3,85.8,55.4,48.9,0.5,120,19.2
Sustituto de huevo liquido,60,51,7.1,2,0.4,0,130.2,31.9,1.3,106,24.8
T-bone sin grasa,24,49,6.4,2.4,0,14.2,0,1.4,0.8,17,5.3
Ternera,35,55,6.9,2.8,0,31.5,0,3.9,1.1,31.5,5.5
Ternera en canal,38,59,7.5,3,0,34.2,0,4.2,1.1,34.2,5.9
"Tofu, firme",40,58,6.3,3.5,1.7,ND,ND,ND,ND,ND,ND
Trucha,32,54,5.9,3.2,0,15.5,0,3.9,0.3,22.5,4.1
Trucha ahumada,30,51,7.3,2.2,0,20.5,25.8,25.8,0.1,12.7,4.5
Trucha cocida,30,51,7.3,2.2,0,20.5,25.8,25.8,0.1,12.7,4.5
Trucha fileteada,35,59,6.4,3.5,0,16.8,0,4.2,0.4,24.5,4.4
